Tessuto;Riboflavina
Fegato;0.95
Fegato;2.18
Fegato;1.12
Fegato;1.86
Muscolo;0.22
Muscolo;0.18
Muscolo;0.46
Muscolo;0.86
Muscolo;0.64
Muscolo;0.28
Muscolo;0.33
Muscolo;0.35
Muscolo;0.42
