id;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
Calcio;99;78;81;45;44;102;83;74;38;48
Fosfato;81;65;66;23;18;83;68;71;19;14
Ossalato;69;53;38;19;24;72;49;41;22;21
Magnesio;61;43;54;16;19;66;45;57;14;12
